,Asset 1,Asset 2,p-value,Start Time,End Time,Train Days,Test Days,Train Wallet,Test Wallet,Parameters,Train Sharpe Ratio,Test Sharpe Ratio,Backtesting_Period
46,COMPUSDT,YFIUSDT,0.000006593592601454786,1723420799999,1736380799999,150,50,12077.878537710136,10000,"[2.0, 100]",0.14332161610176763,-Infinity,2
47,VETUSDT,XTZUSDT,0.000006639631453034073,1723420799999,1736380799999,150,50,19975.606593526703,10000,"[2.0, 90]",0.20977247756517026,-Infinity,2
48,TRXUSDT,YFIUSDT,0.000007554665943091226,1723420799999,1736380799999,150,50,17666.283453747674,10418.842550739277,"[2.0, 30]",0.13705738518329827,0.11172451407745554,2
49,FARMUSDT,POLUSDT,0.000008028235898361353,1723420799999,1736380799999,150,50,10897.560793838988,10008.90299742163,"[2.0, 10]",0.0931681879311946,-0.025509850466382305,2
0,NEIROUSDT,PNUTUSDT,2.3857380992996446e-22,1727740799999,1740700799999,150,50,10986.42875630643,10524.26668596285,"[2.0, 30]",0.05272328063039789,0.07247429190977368,3
1,AVAUSDT,MEUSDT,1.5529035088557024e-15,1727740799999,1740700799999,150,50,10576.587145774227,9092.556675715985,"[2.0, 10]",0.08887859124240456,-0.17334807930952514,3
2,BOMEUSDT,PNUTUSDT,5.766875227537984e-15,1727740799999,1740700799999,150,50,12032.21726266177,10492.275698158051,"[2.0, 10]",0.1687401505863536,0.12598579017929643,3
3,APEUSDT,LUMIAUSDT,1.7400465841576177e-12,1727740799999,1740700799999,150,50,10226.91860271061,8930.293672711965,"[2.0, 10]",0.04149451497314633,-0.17912533932493513,3
4,DGBUSDT,JSTUSDT,6.508988222822655e-11,1727740799999,1740700799999,150,50,13258.267046225716,10637.576878588872,"[2.0, 10]",0.06751701668462809,0.07621500427700792,3
5,KSMUSDT,SCRTUSDT,9.664017895812024e-11,1727740799999,1740700799999,150,50,27017.452217747883,9747.880064847857,"[2.0, 10]",0.09969953760330733,-0.09934351779989979,3
6,PNUTUSDT,WIFUSDT,1.445393914463844e-10,1727740799999,1740700799999,150,50,10433.764216273099,9802.945432064793,"[2.0, 10]",0.049859175646944504,-0.08471669903402106,3
7,1MBABYDOGEUSDT,ACXUSDT,2.0031479694295773e-10,1727740799999,1740700799999,150,50,10019.301639337158,10244.952337941619,"[2.0, 10]",-0.07910800820987907,0.0808937461569616,3
8,STEEMUSDT,STGUSDT,4.900889835862699e-10,1727740799999,1740700799999,150,50,19471.198980205205,9639.465749335075,"[2.0, 50]",0.16044724333283011,-0.045542753939979766,3
9,DASHUSDT,JSTUSDT,1.5674254664917584e-9,1727740799999,1740700799999,150,50,13451.844791068563,10121.744814464639,"[2.0, 130]",0.07814766831584971,0.07900757630683013,3
10,ORCAUSDT,PEPEUSDT,3.221887097963113e-9,1727740799999,1740700799999,150,50,10248.198242603585,11589.471627962557,"[2.0, 10]",0.040631010057288655,0.12572072924165842,3
11,MTLUSDT,WAXPUSDT,4.763278095000501e-9,1727740799999,1740700799999,150,50,11463.692447269428,10564.318286389727,"[2.0, 20]",0.155113031392637,0.10988500369996566,3
12,JSTUSDT,SANDUSDT,7.502941163747488e-9,1727740799999,1740700799999,150,50,12087.705595826079,10135.755129260193,"[2.0, 10]",0.025600161244432443,0.08544885561002658,3
13,MLNUSDT,VELODROMEUSDT,1.864073799833483e-8,1727740799999,1740700799999,150,50,10251.891986026385,9337.85827223158,"[2.0, 10]",0.11310046489894443,-0.057007558538593066,3
14,MBLUSDT,POWRUSDT,2.694908040483511e-8,1727740799999,1740700799999,150,50,11432.311724930263,10000,"[2.0, 130]",0.16478834897419775,-Infinity,3
15,MEUSDT,PIVXUSDT,3.5547505683449755e-8,1727740799999,1740700799999,150,50,10682.551646639915,9136.346988416435,"[2.0, 20]",0.12276600835424295,-0.22349109879353973,3
16,GALAUSDT,NEOUSDT,4.0027588597126484e-8,1727740799999,1740700799999,150,50,12644.823517247189,9574.127881443756,"[2.0, 10]",0.11747755026893528,-0.1996362310330723,3
17,BTCUSDT,WBTCUSDT,4.084011625642143e-8,1727740799999,1740700799999,150,50,10042.447651997618,10000,"[2.0, 110]",-0.36453635010774105,-Infinity,3
