,Asset 1,Asset 2,p-value,Start Time,End Time,Train Days,Test Days,Train Wallet,Test Wallet,Parameters,Train Sharpe Ratio,Test Sharpe Ratio,Backtesting_Period
4,AIUSDT,STEEMUSDT,7.016300845607602e-9,1723420799999,1736380799999,150,50,16523.90654301199,10000,"[2.0, 50]",0.11651977140955064,-Infinity,2
5,MANAUSDT,ZRXUSDT,1.176622499308724e-8,1723420799999,1736380799999,150,50,13204.022519186412,10062.833359593782,"[2.0, 50]",0.09154679846254732,0.027233399359685637,2
6,HOTUSDT,MOVRUSDT,4.048145794086797e-8,1723420799999,1736380799999,150,50,13308.6490553852,10000,"[2.0, 50]",0.14736005333401755,-Infinity,2
7,ACAUSDT,XTZUSDT,6.814272135772771e-8,1723420799999,1736380799999,150,50,16274.3491836719,10000,"[2.0, 50]",0.12903116902592202,-Infinity,2
8,FISUSDT,RSRUSDT,7.477086246498131e-8,1723420799999,1736380799999,150,50,13171.426469302703,10669.073043441194,"[2.0, 50]",0.13436639063210604,0.12934809045739684,2
9,JSTUSDT,SANDUSDT,7.691033057781189e-8,1723420799999,1736380799999,150,50,8785.812634677075,8780.044841047922,"[2.0, 50]",-0.0009590604367496706,-0.19358541458149053,2
10,ALPHAUSDT,RADUSDT,8.51013425729776e-8,1723420799999,1736380799999,150,50,11077.339804816054,10000,"[2.0, 50]",0.04451447041551521,-Infinity,2
11,ANKRUSDT,TUSDT,1.3698290406200572e-7,1723420799999,1736380799999,150,50,11060.141392085585,9392.575863195654,"[2.0, 50]",0.04983819372575406,-0.1345302809778751,2
12,SANDUSDT,VETUSDT,1.4415110226315186e-7,1723420799999,1736380799999,150,50,20449.631315772396,9578.713119427604,"[2.0, 50]",0.15398676858515783,-0.1885336676954433,2
13,JSTUSDT,LTCUSDT,2.0479495694461517e-7,1723420799999,1736380799999,150,50,12533.344754254658,9990.364235828658,"[2.0, 50]",0.06121785700472969,-0.008568229569239357,2
14,DASHUSDT,JSTUSDT,2.3224838465885629e-7,1723420799999,1736380799999,150,50,11457.8115018796,8946.7418156638,"[2.0, 50]",0.042617229749096035,-0.2021824879397724,2
15,ACAUSDT,KSMUSDT,2.600134156990595e-7,1723420799999,1736380799999,150,50,20867.619533841684,10126.276164696681,"[2.0, 50]",0.11114567954727846,0.01744059086624528,2
16,KAVAUSDT,ONTUSDT,2.620256293796815e-7,1723420799999,1736380799999,150,50,12064.625427396957,11435.002547975791,"[2.0, 50]",0.13360422833898508,0.2358540475239847,2
17,ARDRUSDT,SXPUSDT,3.7952102476504874e-7,1723420799999,1736380799999,150,50,15546.345266381359,10279.836102390795,"[2.0, 50]",0.11548214195170084,0.1735864583153924,2
18,ARPAUSDT,WOOUSDT,5.012427080727705e-7,1723420799999,1736380799999,150,50,13879.577392986283,10535.402481660769,"[2.0, 50]",0.13533161226009213,0.08253994290797381,2
19,DGBUSDT,VETUSDT,5.626106529957348e-7,1723420799999,1736380799999,150,50,20391.52580834245,10000,"[2.0, 50]",0.19865267864981218,-Infinity,2
20,ALGOUSDT,SANDUSDT,5.93884669062652e-7,1723420799999,1736380799999,150,50,19855.764247883515,10000,"[2.0, 50]",0.1314894495088792,-Infinity,2
21,TUSDT,WAXPUSDT,7.12314867898047e-7,1723420799999,1736380799999,150,50,11252.35706111389,10000,"[2.0, 50]",0.07489711448426244,-Infinity,2
22,ENJUSDT,GLMRUSDT,8.820341428178914e-7,1723420799999,1736380799999,150,50,13455.5765688705,10000,"[2.0, 50]",0.1282281432493668,-Infinity,2
23,QTUMUSDT,TUSDT,9.7238616194893e-7,1723420799999,1736380799999,150,50,12614.904495140257,10313.729733096432,"[2.0, 50]",0.0948455312097543,0.042819113104984555,2
24,MBLUSDT,PUNDIXUSDT,0.0000010790235535334825,1723420799999,1736380799999,150,50,11482.08564142372,9975.215339560926,"[2.0, 50]",0.14996783272436962,-0.11640751150786596,2
25,PROMUSDT,SYNUSDT,0.0000010879477312217823,1723420799999,1736380799999,150,50,15661.755221001813,9882.5214030643,"[2.0, 50]",0.157724708611765,-0.015812444260623684,2
26,NEOUSDT,ZRXUSDT,0.000001173295283093979,1723420799999,1736380799999,150,50,12367.013760346446,9937.41159547082,"[2.0, 50]",0.1378267854781694,-0.07679589733649632,2
27,KMDUSDT,THETAUSDT,0.0000012496471123938297,1723420799999,1736380799999,150,50,11082.000380457746,10494.16563888342,"[2.0, 50]",0.041768261165549256,0.21294133998337786,2
28,FXSUSDT,STRAXUSDT,0.0000012586403792913367,1723420799999,1736380799999,150,50,13729.341505947577,10000,"[2.0, 50]",0.11597959992159794,-Infinity,2
29,ARDRUSDT,IQUSDT,0.0000014476557389549736,1723420799999,1736380799999,150,50,13943.939819030145,10000,"[2.0, 50]",0.19202453265585412,-Infinity,2
30,AUDIOUSDT,FLMUSDT,0.0000015182983424541613,1723420799999,1736380799999,150,50,11797.289840935362,10000,"[2.0, 50]",0.19927927776449564,-Infinity,2
31,KMDUSDT,XVSUSDT,0.0000023153116566266515,1723420799999,1736380799999,150,50,11097.922853390153,10058.042219930823,"[2.0, 50]",0.06623439275617281,0.006864104343201457,2
32,BANDUSDT,C98USDT,0.0000023649475443441343,1723420799999,1736380799999,150,50,10537.408880193361,9948.810383062151,"[2.0, 50]",0.04590065671375325,-0.02021045827700863,2
33,BANDUSDT,SNXUSDT,0.000002616613665633259,1723420799999,1736380799999,150,50,10614.476857380458,10024.423722066682,"[2.0, 50]",0.03978177801200068,-0.004357619086368073,2
34,DASHUSDT,DGBUSDT,0.0000027608130681169044,1723420799999,1736380799999,150,50,17645.974054016962,9914.839061124698,"[2.0, 50]",0.2476072124435898,-0.08817457336829786,2
35,AMPUSDT,COMPUSDT,0.0000028258246725566555,1723420799999,1736380799999,150,50,17198.977227882227,10113.657914671605,"[2.0, 50]",0.20206480544878427,0.038782821706508666,2
36,BLURUSDT,YGGUSDT,0.000002833882165024109,1723420799999,1736380799999,150,50,13638.825406583635,10000,"[2.0, 50]",0.17110996429285974,-Infinity,2
37,GMTUSDT,POLYXUSDT,0.000003086646724732382,1723420799999,1736380799999,150,50,14647.102788927548,10122.63472426254,"[2.0, 50]",0.1651163203955475,0.029534744443096353,2
38,STEEMUSDT,STRAXUSDT,0.0000035784270781615005,1723420799999,1736380799999,150,50,12379.207815348438,9922.763411162794,"[2.0, 50]",0.054808087396547106,-0.09742981882588907,2
39,FUNUSDT,JASMYUSDT,0.000003958148510971095,1723420799999,1736380799999,150,50,9109.573568056121,10000,"[2.0, 50]",-0.015293602837870466,-Infinity,2
40,HOTUSDT,OGNUSDT,0.000004346036851822412,1723420799999,1736380799999,150,50,12243.231513851222,10111.10409691614,"[2.0, 50]",0.11905269205107488,0.06155641553154621,2
41,MOVRUSDT,RVNUSDT,0.000005039838625398421,1723420799999,1736380799999,150,50,11837.036874911008,9728.118923166066,"[2.0, 50]",0.14309375705776606,-0.15083912357846227,2
42,ANKRUSDT,QTUMUSDT,0.000005122940673624485,1723420799999,1736380799999,150,50,13150.704134846292,8081.291938763835,"[2.0, 50]",0.17391187704106773,-0.13870358446465986,2
43,DCRUSDT,LUMIAUSDT,0.0000058822854330689455,1723420799999,1736380799999,150,50,10000,7971.635729837429,"[2.0, 50]",-Infinity,-0.2640092397012958,2
